"lclsSystm3Cd","lclsSystm3Nm","parent_lclsSystm2Cd"
VE070600,미술관/화랑,VE07
VE120100,서점,VE12
VE120200,카지노,VE12
VE120300,기타문화시설,VE12
VE110100,공항,VE11
VE110200,기차역,VE11
VE110300,버스터미널,VE11
VE110400,여객선터미널,VE11
VE110500,고속도로휴게소,VE11
VE110600,지하철,VE11
AC010100,호텔,AC01
FD010100,관광식당,FD01
FD010200,모범음식점,FD01
SH050100,공방/공예품점,SH05
SH050200,전문상가,SH05
SH050300,관광기념품/특산물판매점,SH05
VE030100,시민공원,VE03
VE030200,소공원,VE03
VE030300,어린이공원,VE03
VE030400,근린공원,VE03
VE030500,주제공원,VE03
SH040100,공항면세점,SH04
SH040200,시내면세점,SH04
SH040300,사후면세점,SH04
AC020100,콘도,AC02
AC020200,레지던스,AC02
VE080600,연회장,VE08
EV030100,전시회,EV03
EV030200,박람회,EV03
EV030300,스포츠경기,EV03
EV030400,기타행사,EV03
LS040100,복합레저스포츠,LS04
NA020100,강,NA02
NA020200,호수,NA02
NA020300,저수지,NA02
NA020400,연못·늪,NA02
NA020500,섬,NA02
NA020600,염전,NA02
NA020700,항구/포구,NA02
NA020800,해안절경,NA02
NA020900,해변. 해수욕장,NA02
HS020100,탑ㆍ비석ㆍ기념탑,HS02
HS020200,선사유물,HS02
HS020300,불상,HS02
HS020400,기타역사유물,HS02
EX070100,유람선/잠수함관광,EX07
EX070200,기타체험관광,EX07
EX030100,체험마을,EX03
EX030200,체험목장,EX03
EX030300,체험농장,EX03
EX030400,체험어장,EX03
HS010100,고궁,HS01
HS010200,성ㆍ산성ㆍ성곽,HS01
HS010300,문,HS01
HS010400,고택,HS01
HS010500,생가,HS01
HS010600,민속마을,HS01
HS010700,사적지,HS01
HS010800,"고분, 능",HS01
HS010900,사당,HS01
HS011000,선사유적지,HS01
HS011100,근대건축물,HS01
HS011200,기타역사유적지,HS01
C01170001,맛코스,C0117
SH060100,비상설시장,SH06
SH060200,상설시장,SH06
C01120001,가족코스,C0112
SH070100,기타쇼핑시설,SH07
VE100100,스포츠경기장,VE10
VE100200,"스포츠센터, 수련시설",VE10
VE040100,"골목길, 문화거리",VE04
VE040200,마을관광지,VE04
VE040300,둘레길,VE04
EX060100,근대산업유산,EX06
EX060200,게임 등 첨단IT산업,EX06
EX060300,전통/향토산업,EX06
EX060400,문화콘텐츠산업,EX06
EX060500,장수기업/산업테마거리,EX06
EX060600,자동차/조선/철강 등,EX06
EX060700,로봇/항공우주산업,EX06
EX060800,화장품/주류/먹거리,EX06
EX060900,친환경/신재생에너지,EX06
EX061000,기타산업관광지,EX06
C01150001,도보코스,C0115
VE060100,공연장,VE06
VE060200,영화관,VE06
LS030100,스카이다이빙,LS03
LS030200,초경량비행,LS03
LS030300,헹글라이딩/패러글라이딩,LS03
LS030400,열기구,LS03
LS030500,무인비행장치(드론),LS03
LS030600,기타항공레저스포츠,LS03
NA030100,동굴,NA03
NA030200,희귀동.식물,NA03
NA030300,기암괴석,NA03
NA030400,생태습지,NA03
NA030500,기타자연생태,NA03
SH010100,백화점,SH01
C01130001,나홀로코스,C0113
EV020100,전통공연,EV02
EV020200,연극,EV02
EV020300,뮤지컬,EV02
EV020400,오페라,EV02
EV020500,무용,EV02
EV020600,클래식음악회,EV02
EV020700,대중콘서트,EV02
EV020800,영화,EV02
EV020900,기타공연,EV02
EV021000,넌버벌,EV02
C01140001,힐링코스,C0114
EX010100,전통문화체험,EX01
VE050100,관광단지,VE05
VE050200,리조트,VE05
EX040100,템플스테이,EX04
EX040200,사찰문화체험,EX04
NA050100,기타자연관광,NA05
FD030100,제과,FD03
FD030200,"피자, 햄버거, 샌드위치 및 유사음식",FD03
FD030300,치킨,FD03
FD030400,김밥 분식,FD03
FD030500,이동음식,FD03
FD030600,기타간이음식,FD03
HS030100,불교,HS03
